NAME,RATING,AREA,DISHES,APPROX,DISCOUNT,LOCATION
Table Tales,4.8,"Bodakdev, West Ahmedabad",Multicuisine,1500,10,Ahmedabad
Banjara- Gourmet Dining,4.5,"Bodakdev, West Ahmedabad",Multicuisine,1700,20,Ahmedabad
 Laurel - An Essence Of Flavors,5.0,"Ambli, Ahmedabad",Multicuisine,1800,20,Ahmedabad
The Chocolate Room,5.0,"Prahlad Nagar, West Ahmedabad",Bakery,500,35,Ahmedabad
Essence,4.5,"Crowne Plaza, Ahmedabad","Indian, North Indian",2000,50,Ahmedabad
Sphere Lounge,4.1,"Hotel Ramada, Ahmedabad","Continental, Indian",900,10,Ahmedabad
South Leaf - The Food Chain,4.4,"Prahlad Nagar, West Ahmedabad",South Indian,900,15,Ahmedabad
Bella Aroma,4.5,"Crowne Plaza, Ahmedabad",Cafe,700,25,Ahmedabad
La Milano Pizzeria,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,500,25,Ahmedabad
Khichdi,1.0,"Prahlad Nagar, West Ahmedabad",Indian,700,25,Ahmedabad
The Shaka Cafe,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,1000,10,Ahmedabad
Sky Grill,3.2,"Crowne Plaza, Ahmedabad","Indian, European",1800,25,Ahmedabad
Sundew,4.4,"Hotel Ramada, Ahmedabad",Multicuisine,1400,10,Ahmedabad
Gwalia Vanakkam,1.0,"Prahlad Nagar, West Ahmedabad",South Indian,800,20,Ahmedabad
1944 The Hocco Kitchen,5.0,"Prahlad Nagar, West Ahmedabad",North Indian,1000,10,Ahmedabad
Amritsar Haveli,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,1100,30,Ahmedabad
Barbeque Nation,4.5,"Prahlad Nagar, West Ahmedabad",Multicuisine,1850,,Ahmedabad
Grill Kitchen,4.6,"Prahlad Nagar, West Ahmedabad",Multicuisine,700,15,Ahmedabad
Devi Coffee Day,5.0,"Satellite, West Ahmedabad","Cafe, Fast Food",600,15,Ahmedabad
Topspin,4.2,"Devarc Mall, Ramdev Nagar",Multicuisine,1200,15,Ahmedabad
Veranda Rooftop Restro Cafe,5.0,"Jodhpur Village, Ahmedabad",Multicuisine,800,25,Ahmedabad
The Chocolate Room Judges Bunglow,4.5,"Bodakdev, West Ahmedabad",Bakery,500,50,Ahmedabad
Fayrouz,4.8,"Prahlad Nagar, West Ahmedabad",Multicuisine,800,10,Ahmedabad
Express Cafe,4.2,Holiday Inn Express Ahmedabad Prahlad Nagar ,Multicuisine,600,25,Ahmedabad
Salad Time,4.0,"Prahlad Nagar, West Ahmedabad","Healthy Food, Salad",500,20,Ahmedabad
Kitcha: Together We Eat,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,800,15,Ahmedabad
Fruitose,5.0,"Bopal, West Ahmedabad",Beverages,450,10,Ahmedabad
The Square - Novotel,4.2,"Novotel, Ahmedabad",Multicuisine,1500,35,Ahmedabad
Starboy Pizza,4.0,"Prahlad Nagar, West Ahmedabad","Desserts, Italian",300,,Ahmedabad
MAD By Tomato's,4.0,"Bodakdev, West Ahmedabad",Multicuisine,1500,10,Ahmedabad
Tuk Tuk Thai - Pure Veg Asian Fine Dine,5.0,"Bodakdev, West Ahmedabad",Asian,1200,10,Ahmedabad
Pizzaiiolo - The Wood Fired Pizza	,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,600,20,Ahmedabad
Desi Rasoi,4.0,"Satellite, West Ahmedabad",Gujarati,800,20,Ahmedabad
