NAME,RATING,AREA,DISHES,APPROX,DISC
Table Tales,4.8,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Banjara- Gourmet Dining,4.5,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1700 for two approx.,20% Off + 25% Off
 Laurel - An Essence Of Flavors,5.0,"Ambli, Ahmedabad",Multicuisine,₹ 1800 for two approx.,20% Off + 25% Off
The Chocolate Room,5.0,"Prahlad Nagar, West Ahmedabad  | View All(19) Outlets",Bakery,₹ 500 for two approx.,35% Off + 25% Off
Essence,4.5,"Crowne Plaza, Ahmedabad","Indian, North Indian",₹ 2000 for two approx.,50% Off + 25% Off
Sphere Lounge,4.1,"Hotel Ramada, Ahmedabad","Continental, Indian",₹ 900 for two approx.,10% Off + 25% Off
South Leaf - The Food Chain,4.4,"Prahlad Nagar, West Ahmedabad",South Indian,₹ 900 for two approx.,15% Off + 25% Off
Bella Aroma,4.5,"Crowne Plaza, Ahmedabad",Cafe,₹ 700 for two approx.,25% Off + 25% Off
La Milano Pizzeria,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,₹ 500 for two approx.,25% Off + 25% Off
Khichdi,1.0,"Prahlad Nagar, West Ahmedabad",Indian,₹ 700 for two approx.,25% Off + 25% Off
The Shaka Cafe,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Sky Grill,3.2,"Crowne Plaza, Ahmedabad","Indian, European",₹ 1800 for two approx.,25% Off + 25% Off
Sundew,4.4,"Hotel Ramada, Ahmedabad",Multicuisine,₹ 1400 for two approx.,10% Off + 25% Off
Gwalia Vanakkam,1.0,"Prahlad Nagar, West Ahmedabad",South Indian,₹ 800 for two approx.,20% Off + 25% Off
1944 The Hocco Kitchen,5.0,"Prahlad Nagar, West Ahmedabad  | View All(8) Outlets",North Indian,₹ 1000 for two approx.,10% Off + 25% Off
Amritsar Haveli,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1100 for two approx.,30% Off + 25% Off
Barbeque Nation,4.5,"Prahlad Nagar, West Ahmedabad  | View All(2) Outlets",Multicuisine,₹ 1850 for two approx.,25% Off :Payeazy
Grill Kitchen,4.6,"Prahlad Nagar, West Ahmedabad  | View All(4) Outlets",Multicuisine,₹ 700 for two approx.,15% Off + 25% Off
Devi Coffee Day,5.0,"Satellite, West Ahmedabad","Cafe, Fast Food",₹ 600 for two approx.,15% Off + 25% Off
Topspin,4.2,"Devarc Mall, Ramdev Nagar",Multicuisine,₹ 1200 for two approx.,15% Off + 25% Off
Veranda Rooftop Restro Cafe,5.0,"Jodhpur Village, Ahmedabad",Multicuisine,₹ 800 for two approx.,25% Off + 25% Off
The Chocolate Room Judges Bunglow,4.5,"Bodakdev, West Ahmedabad",Bakery,₹ 500 for two approx.,50% Off + 25% Off
Fayrouz,4.8,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Express Cafe,4.2,Holiday Inn Express Ahmedabad Prahlad Nagar ,Multicuisine,₹ 600 for two approx.,25% Off + 25% Off
Salad Time,4.0,"Prahlad Nagar, West Ahmedabad","Healthy Food, Salad",₹ 500 for two approx.,20% Off + 25% Off
Kitcha: Together We Eat,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Fruitose,5.0,"Bopal, West Ahmedabad",Beverages,₹ 450 for two approx.,10% Off + 25% Off
The Square - Novotel,4.2,"Novotel, Ahmedabad",Multicuisine,₹ 1500 for two approx.,35% Off + 25% Off
